id,title,category,contribution,shortDescription,longDescription
1,비어있음,,,,
2,기운찬한방병원,"renewal, maintenance","반응형 퍼블리싱 및 인터랙션 100% 구현, 스타일 가이드를 통한 일관된 UI 최적화, 유지보수 퍼블리싱",의료 정보를 체계적으로 재설계한 반응형 리뉴얼,"기존 웹 빌더 시스템의 높은 유지보수 비용 문제를 해결하고, 방대한 의료 데이터를 안정적으로 이관하기 위한 전면 리뉴얼 프로젝트였습니다. 여러 진료 과목이 복잡하게 혼재되어 있던 정보를 사용자 중심으로 재구성하기 위해 정보 구조(IA)를 설계 단계부터 다시 정립하였으며, 수많은 서브 페이지를 효율적으로 관리할 수 있도록 체계적인 스타일 가이드를 수립했습니다."
3,주연여성의원,"new, maintenance","반응형 퍼블리싱 및 인터랙션 100% 구현, 브랜드 아이덴티티를 반영한 UI 구현, 유지보수 퍼블리싱",우아하고 섬세한 브랜드 감성을 담아낸 프리미엄 반응형 웹사이트 런칭,"여성 전문 의원으로서의 신뢰감과 고유한 브랜드 정체성을 확보하기 위해 감각적인 시각화와 섬세한 인터랙션이 강조된 신규 런칭 프로젝트입니다."
4,이스트폴담우이비인후과의원,new,"인터랙티브 랜딩페이지 퍼블리싱 100%, 요구사항 분석 및 유연한 UI 대응",브랜드 가치를 집약적으로 전달하는 1페이지 랜딩페이지 구축,"개원 준비 단계에서 발생하는 빈번한 요구사항 변경에 유연하게 대응하며, 병원의 핵심 가치를 집약적으로 전달하는 1페이지 랜딩페이지를 구축했습니다."
5,베스트연합의원,"renewal, maintenance","반응형 퍼블리싱 100%, 방문진료 예약 시스템 설계 및 CMS 고도화",사용자 예약 편의성과 관리 효율을 동시에 극대화한 방문진료 맞춤형 리뉴얼,"환자의 예약 편의성과 병원 행정의 효율성을 동시에 높이기 위해 방문진료 상담 신청 시스템을 새롭게 구축한 리뉴얼 프로젝트입니다."
6,서울에이스병원,maintenance,"진료 상세페이지 구축 100%, 의료진 프로필 및 이벤트 페이지 유지보수",대규모 의료 정보의 체계화와 다수의 신규 상세페이지 구축 및 유지보수,"의료진 프로필과 진료 시간표 등 업데이트가 잦은 대형 병원 웹사이트의 특성을 고려하여, 운영 안정성과 확장성에 집중한 프로젝트입니다."
7,성남센트럴안과의원,"renewal, maintenance","메인 페이지 리뉴얼 및 진료 상세페이지 퍼블리싱 100%, 인터랙티브 스크롤 애니메이션 구현",역동적인 인터랙션과 세련된 레이아웃 구현으로 브랜드 생동감을 높인 반응형 리뉴얼,"기존 메인 페이지를 보다 역동적이고 세련되게 개선한 index 리뉴얼 프로젝트로, 스크롤 애니메이션과 시각적 인터랙티브 요소를 활용해 생동감 넘치는 브랜드 이미지를 구축했습니다."
8,테라기획,renewal,"기업 홈페이지 리뉴얼 퍼블리싱 100%, 300+ 진행 프로젝트·94% 재계약률 수치 강조 섹션 및 마케팅 프로그램 카드 UI 구현","300+ 진행 프로젝트·94% 재계약률을 강조하고 5가지 마케팅 프로그램을 체계화한 병원 마케팅 기업 리뉴얼","CountUp 애니메이션 형식으로 실적 수치를 메인에 배치하여 신뢰도를 즉각 전달하는 병원 마케팅 기업 리뉴얼 프로젝트입니다."
9,나이스병원,"new, maintenance","메인 및 전 서브페이지 퍼블리싱 100%, 기획·디자인·개발 유관 담당자와 유기적 협업 및 상시 유지보수",실무 협업 프로세스를 익히고 프로젝트의 완성도를 높인 리뉴얼 및 유지보수,"입사 후 첫 프로젝트로서 메인 및 전체 서브페이지의 퍼블리싱을 전담한 대규모 신규 런칭 프로젝트입니다."
10,목동서울정형외과의원,new,"랜딩페이지 퍼블리싱 100% 및 반응형 최적화",비수술 치료의 전문성과 신뢰도를 시각화한 반응형 랜딩페이지,"미디어 쿼리를 정교하게 제어한 반응형 랜딩페이지 프로젝트입니다. 병원 마케팅 특화 레이아웃을 전략적으로 활용하여 전체 제작 공정을 약 25% 단축하였으며 Slick/AOS 라이브러리를 활용했습니다."
11,삼성동작내과의원,new,"반응형 퍼블리싱 100%, 탭 구조 인터랙션 구현 및 검색 최적화(SEO)",탭 인터랙션과 자동 슬라이드로 정보 접근성을 높인 반응형 랜딩페이지,"탭 구조의 인터랙션과 자동 슬라이딩 기능을 적용한 신규 구축 프로젝트입니다. 병원 인수에 따른 브랜드 인지도 제고를 위해 핵심 키워드 중심의 정교한 SEO 작업을 수행했습니다."
12,우리의내과의원,new,"반응형 퍼블리싱 100%, 템플릿 최적화 및 라이브러리 연동",템플릿 최적화와 인터랙션으로 제작 효율과 몰입감을 높인 랜딩페이지,"기존 템플릿의 효율성과 고도화된 커스텀 기능을 결합하여 제작 공정이 약 25% 단축된 효율 중심의 프로젝트입니다. CountUp 라이브러리, hover 인터랙션, Slick/AOS 효과를 활용했습니다."
13,서울매일365의원,new,"반응형 퍼블리싱 100%, 카드 UI 디자인 구현 및 섹션별 인터랙티브 요소 최적화",카드형 레이아웃과 직관적인 호버 인터랙션으로 정보 전달력을 높인 반응형 웹사이트,"카드 형식의 레이아웃으로 정보 가독성을 높이고, PC 호버 인터랙션과 모바일 Slick Slide를 디바이스별로 최적화하여 구현한 신규 구축 프로젝트입니다."
14,미아삼성정형외과의원,new,"반응형 퍼블리싱 100%, 수술·비수술 클리닉 섹션 UI 구현",교수 출신 원장의 신뢰도와 수술·비수술 치료를 직관적으로 대비시킨 정형외과 랜딩페이지,"교수 출신 원장 이력을 시각적으로 최우선 배치하고, 아이콘형 카드 UI로 진료 카테고리를 구조화하여 정보 탐색 편의성을 높인 정형외과 랜딩페이지입니다."
15,올바른마디튼튼의원,new,"반응형 퍼블리싱 100%, 프랜차이즈 표준 레이아웃 적용 및 지점 특화 커스터마이징",프랜차이즈 브랜드 아이덴티티를 유지하면서 야간 진료와 비수술 치료를 부각한 지역 맞춤형 정형외과 웹사이트,"프랜차이즈 표준 레이아웃을 기반으로 야간 진료·비수술 통증 치료 등 지점 차별화 포인트를 전략적으로 강조하고, 세분화된 네비게이션 구조를 구현한 신규 런칭 프로젝트입니다."
